Organism	Sample Name	short	Run	Experiment	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	sex	SRA Study	Tissue	birth_location	Isolation_source	sub_species	BREED	Cultivar	Ecotype	STRAIN
Julidochromis sp. 'unterfels' AB-2019	JWA2	julunt_JWA2	SRR9674042	SRX6434421	missing	WGS	245	21256533953	PRJNA550295	SAMN12123878	Model organism or animal	7787125087	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWA2	JWA2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Julidochromis sp. 'unterfels' AB-2019	JWA1	julunt_JWA1	SRR9674043	SRX6434420	missing	WGS	245	18907228072	PRJNA550295	SAMN12123877	Model organism or animal	6923574253	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWA1	JWA1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Julidochromis transcriptus	HFG1287	jultra_HFG1287	SRR9657519	SRX6418742	missing	WGS	252	14672773836	PRJNA550295	SAMN12123645	Model organism or animal	5217179430	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	HFG1287	HFG1287	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Julidochromis transcriptus	LJC2	jultra_LJC2	SRR9673949	SRX6434271	missing	WGS	252	12525343236	PRJNA550295	SAMN12124113	Model organism or animal	4286741066	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LJC2	LJC2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus callipterus	IPH2	lamcal_IPH2	SRR9665664	SRX6426569	missing	WGS	252	12612893580	PRJNA550295	SAMN12123702	Model organism or animal	4888529866	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IPH2	IPH2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus callipterus	JAB1	lamcal_JAB1	SRR9674007	SRX6434457	missing	WGS	252	9766689408	PRJNA550295	SAMN12123810	Model organism or animal	4007923770	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JAB1	JAB1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus kungweensis	JXG8	lamkun_JXG8	SRR9675309	SRX6435774	missing	WGS	252	17591775264	PRJNA550295	SAMN12123940	Model organism or animal	6160267831	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JXG8	JXG8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus kungweensis	JXH2	lamkun_JXH2	SRR9675395	SRX6435688	missing	WGS	245	18119361037	PRJNA550295	SAMN12123941	Model organism or animal	6590081044	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JXH2	JXH2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus laparogramma	JDI1	lamlap_JDI1	SRR9674030	SRX6434433	missing	WGS	252	10039777020	PRJNA550295	SAMN12123843	Model organism or animal	3837632688	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JDI1	JDI1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus laparogramma	JDI2	lamlap_JDI2	SRR9674031	SRX6434432	missing	WGS	252	12499028136	PRJNA550295	SAMN12123844	Model organism or animal	4305971307	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JDI2	JDI2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus lemairii	IPD6	lamlem_IPD6	SRR9665697	SRX6426536	missing	WGS	252	8168286924	PRJNA550295	SAMN12123696	Model organism or animal	3115730371	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IPD6	IPD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus lemairii	IZI7	lamlem_IZI7	SRR9674013	SRX6434451	missing	WGS	252	10211280912	PRJNA550295	SAMN12123808	Model organism or animal	4214652277	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IZI7	IZI7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus meleagris	JWA9	lammel_JWA9	SRR9675304	SRX6435779	missing	WGS	245	15406033595	PRJNA550295	SAMN12123885	Model organism or animal	5458535055	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWA9	JWA9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus meleagris	JWA8	lammel_JWA8	SRR9675305	SRX6435778	missing	WGS	252	7524787284	PRJNA550295	SAMN12123884	Model organism or animal	2541232401	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWA8	JWA8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus ocellatus	ILD3	lamoce_ILD3	SRR9657507	SRX6418754	missing	WGS	252	10400928048	PRJNA550295	SAMN12123656	Model organism or animal	4245339559	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILD3	ILD3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus ocellatus	ILC1	lamoce_ILC1	SRR9657508	SRX6418753	missing	WGS	252	8814366792	PRJNA550295	SAMN12123655	Model organism or animal	3610291811	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILC1	ILC1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus ornatipinnis	JZF4	lamorn_JZF4	SRR9675383	SRX6435700	missing	WGS	245	16406207467	PRJNA550295	SAMN12123965	Model organism or animal	5911686618	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JZF4	JZF4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus ornatipinnis	JZF3	lamorn_JZF3	SRR9675386	SRX6435697	missing	WGS	245	19969057072	PRJNA550295	SAMN12123964	Model organism or animal	7271301421	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JZF3	JZF3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus signatus	IWD5	lamsig_IWD5	SRR9665703	SRX6426530	missing	WGS	252	10451378196	PRJNA550295	SAMN12123774	Model organism or animal	4211183967	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IWD5	IWD5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus signatus	IWD6	lamsig_IWD6	SRR9665708	SRX6426525	missing	WGS	252	12128138064	PRJNA550295	SAMN12123775	Model organism or animal	4128324707	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IWD6	IWD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus signatus	sig-01	lamsig_sig-01	SRR15356509	SRX11659019	not applicable	WGS	302	7031609752	PRJNA550295	SAMN19803888	Model organism or animal	2930017671	INCHEON NATIONAL UNIVERSITY	public	"sra,fastq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	not applicable	Illumina HiSeq 3000	not applicable	signatus-01	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	2021-08-08T00:00:00Z	not applicable	SRP213801	Whole				not applicable	not applicable	not applicable	not applicable
Lamprologus sp. 'ornatipinnis congo' AB-2019	JWA4	lamorC_JWA4	SRR9674036	SRX6434427	missing	WGS	252	8353348416	PRJNA550295	SAMN12123880	Model organism or animal	2868032807	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWA4	JWA4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus sp. 'ornatipinnis congo' AB-2019	JWA3	lamorC_JWA3	SRR9674037	SRX6434426	missing	WGS	252	8660672244	PRJNA550295	SAMN12123879	Model organism or animal	3027521164	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWA3	JWA3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus sp. 'ornatipinnis zambia' AB-2019	JDF5	lamorS_JDF5	SRR9674032	SRX6434431	missing	WGS	252	10447249428	PRJNA550295	SAMN12123841	Model organism or animal	4045585000	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JDF5	JDF5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus sp. 'ornatipinnis zambia' AB-2019	JDG4	lamorS_JDG4	SRR9674033	SRX6434430	missing	WGS	252	8336647116	PRJNA550295	SAMN12123842	Model organism or animal	3115272790	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JDG4	JDG4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus speciosus	KCG3	lamspe_KCG3	SRR9673864	SRX6434356	missing	WGS	245	18962553015	PRJNA550295	SAMN12123981	Model organism or animal	6818732297	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KCG3	KCG3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lamprologus speciosus	KCG2	lamspe_KCG2	SRR9675359	SRX6435724	missing	WGS	252	12887801388	PRJNA550295	SAMN12123980	Model organism or animal	4399089172	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KCG2	KCG2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus attenuatus	AVG5	lepatt_AVG5	SRR9657489	SRX6418772	missing	WGS	252	10413665136	PRJNA550295	SAMN12123600	Model organism or animal	3511972262	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AVG5	AVG5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus attenuatus	AVD4	lepatt_AVD4	SRR9657490	SRX6418771	missing	WGS	252	9390678948	PRJNA550295	SAMN12123599	Model organism or animal	3188047099	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AVD4	AVD4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus cunningtoni	IOH5	lepcun_IOH5	SRR9665690	SRX6426543	missing	WGS	245	18392759724	PRJNA550295	SAMN12123693	Model organism or animal	6467609729	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IOH5	IOH5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus cunningtoni	IOH4	lepcun_IOH4	SRR9665693	SRX6426540	missing	WGS	252	10458519624	PRJNA550295	SAMN12123692	Model organism or animal	4002347167	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IOH4	IOH4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus elongatus	AUE6	lepelo_AUE6	SRR9657495	SRX6418766	missing	WGS	252	9232183296	PRJNA550295	SAMN12123592	Model organism or animal	3112152599	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AUE6	AUE6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus elongatus	08-Aug	lepelo_AUG8	SRR9657497	SRX6418764	missing	WGS	252	9672017796	PRJNA550295	SAMN12123594	Model organism or animal	3256174364	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	08-Aug	08-Aug	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus kamambae	LFF7	lepkam_LFF7	SRR9673936	SRX6434284	missing	WGS	252	7454493396	PRJNA550295	SAMN12124077	Model organism or animal	2535729393	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LFF7	LFF7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus kamambae	LFF8	lepkam_LFF8	SRR9673937	SRX6434283	missing	WGS	252	10579972284	PRJNA550295	SAMN12124078	Model organism or animal	3756429144	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LFF8	LFF8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus kendalli	IMD1	lepken_IMD1	SRR9657487	SRX6418774	missing	WGS	245	19505633577	PRJNA550295	SAMN12123669	Model organism or animal	7315902704	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IMD1	IMD1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus kendalli	IMD2	lepken_IMD2	SRR9657488	SRX6418773	missing	WGS	252	9978795540	PRJNA550295	SAMN12123670	Model organism or animal	3989892779	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IMD2	IMD2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus mimicus	LDD6	lepmim_LDD6	SRR9673850	SRX6434370	missing	WGS	252	9760466772	PRJNA550295	SAMN12124048	Model organism or animal	3390137191	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LDD6	LDD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus mimicus	LDD1	lepmim_LDD1	SRR9673851	SRX6434369	missing	WGS	252	9901585260	PRJNA550295	SAMN12124047	Model organism or animal	3561943738	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDD1	LDD1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus profundicola	KEB8	leppro_KEB8	SRR9673899	SRX6434321	missing	WGS	252	10973638116	PRJNA550295	SAMN12123988	Model organism or animal	3692149296	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEB8	KEB8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus profundicola	KAD2	leppro_KAD2	SRR9675384	SRX6435699	missing	WGS	252	10815160356	PRJNA550295	SAMN12123966	Model organism or animal	3685651757	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAD2	KAD2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus sp. 'meeli kipili' AB-2019	LHA2	lepmeK_LHA2	SRR9673874	SRX6434346	missing	WGS	252	9503053308	PRJNA550295	SAMN12124095	Model organism or animal	3246290365	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LHA2	LHA2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lepidiolamprologus sp. 'meeli kipili' AB-2019	LHA5	lepmeK_LHA5	SRR9673875	SRX6434345	missing	WGS	252	10288474812	PRJNA550295	SAMN12124096	Model organism or animal	3536794567	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LHA5	LHA5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lestradea perspicax	IRA1	lesper_IRA1	SRR9665676	SRX6426557	missing	WGS	252	7645019256	PRJNA550295	SAMN12123713	Model organism or animal	2938945224	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IRA1	IRA1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lestradea perspicax	IRA2	lesper_IRA2	SRR9665677	SRX6426556	missing	WGS	252	10596675348	PRJNA550295	SAMN12123714	Model organism or animal	4281201968	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IRA2	IRA2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lestradea stappersii	JVH3	lessta_JVH3	SRR9674039	SRX6434424	missing	WGS	252	7102498032	PRJNA550295	SAMN12123873	Model organism or animal	2499549322	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JVH3	JVH3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lestradea stappersii	JVH2	lessta_JVH2	SRR9674040	SRX6434423	missing	WGS	252	8768620224	PRJNA550295	SAMN12123872	Model organism or animal	3096844609	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JVH2	JVH2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis abeelei	ITB4	lchabe_ITB4	SRR9665712	SRX6426521	missing	WGS	252	9557899596	PRJNA550295	SAMN12123746	Model organism or animal	3684283000	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ITB4	ITB4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis abeelei	ITB3	lchabe_ITB3	SRR9665713	SRX6426520	missing	WGS	252	10861957764	PRJNA550295	SAMN12123745	Model organism or animal	4411752706	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ITB3	ITB3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis auritus	ITB1	lchaur_ITB1	SRR9665714	SRX6426519	missing	WGS	252	9889415928	PRJNA550295	SAMN12123744	Model organism or animal	3383944453	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ITB1	ITB1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis auritus	JAF5	lchaur_JAF5	SRR9674005	SRX6434459	missing	WGS	252	10379771136	PRJNA550295	SAMN12123817	Model organism or animal	4237854856	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JAF5	JAF5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis staneri	ITC2	lchsta_ITC2	SRR9665711	SRX6426522	missing	WGS	252	9297226260	PRJNA550295	SAMN12123747	Model organism or animal	3282901155	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ITC2	ITC2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis staneri	ITA6	lchsta_ITA6	SRR9665715	SRX6426518	missing	WGS	245	20631654594	PRJNA550295	SAMN12123743	Model organism or animal	7549818425	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ITA6	ITA6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnochromis staneri	IXB6	lchsta_IXB6	SRR9673992	SRX6434472	missing	WGS	252	10128749400	PRJNA550295	SAMN12123783	Model organism or animal	3522971403	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IXB6	IXB6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnotilapia dardennii	AWI5	limdar_AWI5	SRR9657565	SRX6418696	missing	WGS	252	9720709740	PRJNA550295	SAMN12123607	Model organism or animal	3232339233	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AWI5	AWI5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Limnotilapia dardennii	AWI6	limdar_AWI6	SRR9657566	SRX6418695	missing	WGS	252	9976290408	PRJNA550295	SAMN12123608	Model organism or animal	3300743515	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AWI6	AWI6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lobochilotes labiatus	ISE5	loblab_ISE5	SRR9665640	SRX6426593	missing	WGS	252	7987892976	PRJNA550295	SAMN12123739	Model organism or animal	3020927513	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ISE5	ISE5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Lobochilotes labiatus	ISD8	loblab_ISD8	SRR9665643	SRX6426590	missing	WGS	252	9374348088	PRJNA550295	SAMN12123738	Model organism or animal	3781054100	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ISD8	ISD8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
